station_name,incident_count
Balbriggan,958890
Ballyfermot,958890
Ballymun,958890
Blackrock,958890
Blanchardstown,958890
Bridewell,958890
Cabinteely,958890
Cabra,958890
Clondalkin,958890
Clontarf,958890
Coolock,958890
Crumlin,958890
Donnybrook,958890
Dublin Airport,958890
Dun Laoghaire,958890
Dundrum,958890
Finglas,958890
Fitzgibbon Street,958890
Garristown,958890
Howth,958890
Irishown,958890
Kevin Street,958890
Kilmainham,958890
Lucan,958890
Lusk,958890
Malahide,958890
Mountjy,958890
O'Connell Street,958890
Pearse Street,958890
Raheny,958890
Rathcoole,958890
Rathfarnham,958890
Rathmines,958890
Ronanstown,958890
Santry,958890
Shankill,958890
Skerries,958890
Stepaside,958890
Store Street,958890
Sundrive Road,958890
Swords,958890
Tallaght,958890
Terenure,958890
North Western Region,373851
Eastern Region,481364
Southern Region,481124
State,2197517
