Station ,Address1,Address2,Address3,Phone,Website ,Latitude,Longitude 
Balbriggan,Drogheda Road,Balbriggan,Co. Dublin ,(01)6664500,https://www.garda.ie/en/contact-us/station-directory/,53.61433,-6.191172
Ballyfermot,Rossmore Avenue,"Ballyfermot, Dublin 20",Co. Dublin ,(01)6667200,https://www.garda.ie/en/contact-us/station-directory/,53.34476,-6.357991
Ballymun,Main Street ,"Ballymun, Dublin 9",Co. Dublin ,(01)6664400,https://www.garda.ie/en/contact-us/station-directory/,53.394531,-6.26371
Blackrock ,15 Sweetman's Avenue,Blackrock ,Co. Dublin ,(01)6665200,https://www.garda.ie/en/contact-us/station-directory/,53.299805,-6.177504
Blanchardstown,Main Street ,"Blanchardtown, Dublin 15",Co. Dublin ,(01)6667000,https://www.garda.ie/en/contact-us/station-directory/,53.38992,-6.380975
Bridewell,28/30 Chancery Street,"Smithfield, Dublin 7",Co. Dublin ,(01)6668200,https://www.garda.ie/en/contact-us/station-directory/,53.34708,-6.27413
Cabinteely,Bray Road ,"Cabinteely, Dublin 18",Co. Dublin ,(01)6665400,https://www.garda.ie/en/contact-us/station-directory/,53.260789,-6.150651
Cabra,Navan Road,Dublin 7 ,Co. Dublin ,(01)6667400,https://www.garda.ie/en/contact-us/station-directory/,53.364985,-6.30764
Clondalkin ,Orchard Lane ,"Clondalkin, Dublin 22",Co. Dublin ,(01)6667600,https://www.garda.ie/en/contact-us/station-directory/,53.323146,-6.394958
Clontarf,Strandville Avenue East,"Clontarf, Dublin 3",Co. Dublin ,(01) 6664800,https://www.garda.ie/en/contact-us/station-directory/,53.363544,-6.220152
Coolock ,Oscar Traynor Road,"Coolock, Dublin 5",Co. Dublin ,(01) 6664200,https://www.garda.ie/en/contact-us/station-directory/,53.390335,-6.201099
Crumlin ,23 Saint Agnes Road,"Crumlin, Dublin 12",Co. Dublin ,(01) 6666200,https://www.garda.ie/en/contact-us/station-directory/,53.319567,-6.315017
Donnybrook ,43 Donnybrook Road,Dublin 4,Co. Dublin ,(01) 6669200,https://www.garda.ie/en/contact-us/station-directory/,53.321731,-6.235914
Dublin Airport ,Terminal Complex,"Dublin Airport, Swords",Co. Dublin ,(01) 6664950,https://www.garda.ie/en/contact-us/station-directory/,53.429782,-6.24501
Dun Laoghaire ,Corrig Avenue,Dun Laoghaire,Co. Dublin ,(01) 6665000,https://www.garda.ie/en/contact-us/station-directory/,53.289915,-6.133347
Dundrum,Dundrum,Dublin 14,Co. Dublin ,(01) 6665600,https://www.garda.ie/en/contact-us/station-directory/,53.289544,-6.242572
Finglas,Mellowes Road,"Finglas West, Dublin 11",Co. Dublin ,(01) 6667500,https://www.garda.ie/en/contact-us/station-directory/,53.389651,-6.306919
Fitzgibbon Street,23-28 Fitzgibbon Street,Dublin 14,Co. Dublin ,(01) 6668400,https://www.garda.ie/en/contact-us/station-directory/,53.357735,-6.255359
Garristown,Main Street ,Garristown,Co. Dublin ,(01) 8354112,https://www.garda.ie/en/contact-us/station-directory/,53.567052,-6.383903
Howth,8 Dunbo Hill,Howth,Co. Dublin ,(01) 6664900,https://www.garda.ie/en/contact-us/station-directory/,53.387287,-6.069001
Irishown,Irishtown Road,"Irishtown Road, Dublin 4",Co. Dublin ,(01) 6669600,https://www.garda.ie/en/contact-us/station-directory/,53.338063,-6.22304
Kevin Street ,Kevin Street upper,Dublin 8,Co. Dublin ,(01) 6669400,https://www.garda.ie/en/contact-us/station-directory/,53.338982,-6.270248
Kilmainham, Kilmainham Lane,Dublin 8,Co. Dublin ,(01) 6669700,https://www.garda.ie/en/contact-us/station-directory/,53.341869,-6.304273
Lucan,Leixlip Road ,Lucan,Co. Dublin ,(01)6667300,https://www.garda.ie/en/contact-us/station-directory/,53.356052,-6.45068
Lusk,Dublin Road ,Lusk ,Co. Dublin ,(01) 8437222,https://www.garda.ie/en/contact-us/station-directory/,53.523431,-6.167335
Malahide,1/2 James's Terrace,Malahide,Co. Dublin ,(01) 6664600,https://www.garda.ie/en/contact-us/station-directory/,53.451162,-6.151959
Mountjy,399 North Circular Road,Dublin 7 ,Co. Dublin ,(01) 6668600,https://www.garda.ie/en/contact-us/station-directory/,53.360484,-6.266825
O'Connell Street,13A O'Connell Street,Dublin 1 ,Co. Dublin ,(01) 6668000,https://www.garda.ie/en/contact-us/station-directory/,53.3507,-6.2602
Pearse Street,1-6 Pearse Street,Dublin 2,Co. Dublin , (01) 6669000,https://www.garda.ie/en/contact-us/station-directory/,53.345702,-6.256269
Raheny,All Saints Road,"Raheny, Dublin 5",Co. Dublin ,(01) 6664300,https://www.garda.ie/en/contact-us/station-directory/,53.378983,-6.177986
Rathcoole,Main Street ,Rathcoole,Co. Dublin ,(01) 6667900,https://www.garda.ie/en/contact-us/station-directory/,53.281792,-6.464709
Rathfarnham,Butterfield Avenue,"Rathfarnham, Dublin 14",Co. Dublin ,(01) 6666500,https://www.garda.ie/en/contact-us/station-directory/,53.297388,-6.28815
Rathmines ,Rathgar Road,"Rathgar Road, Dublin 6",Co. Dublin ,(01) 6666700,https://www.garda.ie/en/contact-us/station-directory/,53.321317,-6.267004
Ronanstown,Saint Ronan's Avenue,"Clondalkin, Dublin 22",Co. Dublin ,(01) 6667700,https://www.garda.ie/en/contact-us/station-directory/,53.337899,-6.406023
Santry ,Shanowen Road,"Santry , Dublin 9",Co. Dublin ,(01) 6664000,https://www.garda.ie/en/contact-us/station-directory/,53.389728,-6.251635
Shankill,Dorney Court,"Shankill, Dublin 18",Co. Dublin ,(01) 6665900,https://www.garda.ie/en/contact-us/station-directory/,53.233524,-6.121017
Skerries  ,90 Strand Street,Skerries,Co. Dublin ,(01) 8491211,https://www.garda.ie/en/contact-us/station-directory/,53.579593,-6.106963
Stepaside,Stepaside,Dulbin 18,Co. Dublin ,(01) 6665700,https://www.garda.ie/en/contact-us/station-directory/,53.253332,-6.21452
Store Street,4-6 Store Street,Dublin 1,Co. Dublin ,(01) 6668000,https://www.garda.ie/en/contact-us/station-directory/,53.350455,-6.252246
Sundrive Road ,Crumlin Road,"Crumlin, Dublin 12",Co. Dublin ,(01) 6666600,https://www.garda.ie/en/contact-us/station-directory/,53.330191,-6.298731
Swords ,Main Street ,Swards ,Co. Dublin ,(01) 6664700,https://www.garda.ie/en/contact-us/station-directory/,53.456023,-6.221116
Tallaght ,Belgard Road East,"Tallaght, Dublin 24",Co. Dublin ,(01) 6666000,https://www.garda.ie/en/contact-us/station-directory/,53.286801,-6.367838
Terenure ,30/32 Terenure Road West,"Terenure, Dublin 6W",Co. Dublin ,(01) 6666400,https://www.garda.ie/en/contact-us/station-directory/,53.309815,-6.288029
